[Report Generation Time (2018/09/17 11:22:37.657 )]
[GSM FHC]
 Start Time:09/17/18 11:22:29.317 
    Total: 3445 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        11,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
66976
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3942,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.250, 8.500, -8.500, PASS
150, 3.125, 8.500, -8.500, PASS
160, 3.000, 8.500, -8.500, PASS
170, 2.750, 8.500, -8.500, PASS
180, 2.750, 8.500, -8.500, PASS
190, 2.625, 8.500, -8.500, PASS
200, 2.625, 8.500, -8.500, PASS
210, 2.500, 8.500, -8.500, PASS
220, 2.500, 8.500, -8.500, PASS
230, 2.500, 8.500, -8.500, PASS
240, 2.625, 8.500, -8.500, PASS
251, 2.625, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.625, 8.500, -8.500, PASS
30, 2.750, 8.500, -8.500, PASS
45, 2.750, 8.500, -8.500, PASS
55, 2.750, 8.500, -8.500, PASS
65, 2.750, 8.500, -8.500, PASS
75, 2.750, 8.500, -8.500, PASS
90, 2.625, 8.500, -8.500, PASS
105, 2.500, 8.500, -8.500, PASS
975, 2.375, 8.500, -8.500, PASS
1000, 2.375, 8.500, -8.500, PASS
1010, 2.375, 8.500, -8.500, PASS
1023, 2.500, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 0.000, 8.500, -9.500, PASS
570, 0.000, 8.500, -9.500, PASS
600, 0.125, 8.500, -9.500, PASS
630, 0.000, 8.500, -9.500, PASS
670, 0.000, 8.500, -9.500, PASS
700, 0.000, 8.500, -9.500, PASS
730, 0.125, 8.500, -9.500, PASS
760, 0.125, 8.500, -9.500, PASS
790, 0.125, 8.500, -9.500, PASS
820, 0.125, 8.500, -9.500, PASS
850, 0.125, 8.500, -9.500, PASS
885, 0.000, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.125, 8.500, -9.500, PASS
550, 0.125, 8.500, -9.500, PASS
570, 0.250, 8.500, -9.500, PASS
600, 0.250, 8.500, -9.500, PASS
630, 0.250, 8.500, -9.500, PASS
660, 0.375, 8.500, -9.500, PASS
690, 0.500, 8.500, -9.500, PASS
720, 0.625, 8.500, -9.500, PASS
750, 0.750, 8.500, -9.500, PASS
770, 0.875, 8.500, -9.500, PASS
790, 0.875, 8.500, -9.500, PASS
810, 1.000, 8.500, -9.500, PASS
 Start Time:09/17/18 11:22:32.922 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 12, 171, 5.90000, 1.00000
4, 660, 13, 164, 3.90000, 1.00000
4, 660, 14, 159, 2.40000, 1.00000
4, 660, 15, 152, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.54258, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.54447, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.14271, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.12577, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.17133, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.21778, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.15052, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.20344, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.08353, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.05045, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.07972, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 11.01099, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 8.93638, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 7.15650, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.17750, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.53876, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.53177, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.12418, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.11280, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.15336, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.16361, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.15522, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.06812, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.11582, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.14722, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.08301, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.14881, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.18265, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 7.25864, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.06992, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.53343, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.51304, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 25.99769, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 23.99662, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 21.99135, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 19.95207, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 18.01722, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 15.95903, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 14.00746, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 12.00877, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 9.87578, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 7.84651, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.05723, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.05598, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.45726, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.35783, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.54819, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.45526, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.81891, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.02075, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.03189, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 19.99619, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 17.96939, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 16.01700, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 14.05420, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 12.03586, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 10.06335, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.99271, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.85678, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.96768, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.47870, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.18680, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4585 ms
[GSM Path Test]
 Start Time:09/17/18 11:22:37.618 
    Total: 35 ms
